Dataset,XofN_none N/A,XofN VarRed Org,XofN Vouk Org
fingerprint_high_freq,0.164,0.164,0.162
fingerprint_mid_freq,0.258,0.257,0.258
fingerprint_low_freq,0.302,0.292,0.271
fingerprint_cardiac,0.231,0.226,0.224
fingerprint_ten,0.287,0.288,0.29
fingerprint_ten_mid,0.35,0.341,0.354
CPI_high_freq,0.162,0.159,0.164
CPI_mid_freq,0.264,0.277,0.264
CPI_low_freq,0.294,0.281,0.281
CPI_cardiac,0.244,0.243,0.246
CPI_ten,0.264,0.275,0.281
CPI_ten_mid,0.372,0.361,0.365
CPI+fingerprint_high_freq,0.153,0.162,0.155
CPI+fingerprint_mid_freq,0.256,0.262,0.257
CPI+fingerprint_low_freq,0.287,0.269,0.278
CPI+fingerprint_cardiac,0.226,0.23,0.229
CPI+fingerprint_ten,0.284,0.282,0.288
CPI+fingerprint_ten_mid,0.343,0.346,0.35
Avg Rank,1.97,1.83,2.19
Wins,6.5,7.5,4.0
