Dataset,XofN_none N/A,XofN VarRed Ung,XofN Vouk Ung
fingerprint_high_freq,0.517,0.588,0.565
fingerprint_mid_freq,0.574,0.599,0.565
fingerprint_low_freq,0.511,0.529,0.569
fingerprint_cardiac,0.517,0.551,0.554
fingerprint_ten,0.607,0.583,0.594
fingerprint_ten_mid,0.58,0.559,0.575
CPI_high_freq,0.55,0.564,0.535
CPI_mid_freq,0.583,0.602,0.58
CPI_low_freq,0.594,0.598,0.599
CPI_cardiac,0.561,0.563,0.555
CPI_ten,0.616,0.623,0.612
CPI_ten_mid,0.571,0.589,0.571
CPI+fingerprint_high_freq,0.57,0.585,0.585
CPI+fingerprint_mid_freq,0.597,0.602,0.609
CPI+fingerprint_low_freq,0.591,0.606,0.594
CPI+fingerprint_cardiac,0.588,0.591,0.576
CPI+fingerprint_ten,0.608,0.608,0.609
CPI+fingerprint_ten_mid,0.598,0.593,0.597
Avg Rank,2.28,1.67,2.06
Wins,3.0,9.5,5.5
