Dataset,XofN_none N/A,XofN Jac-max Ung,XofN Jac-max Org,XofN VarRed Ung,XofN VarRed Org,XofN Vouk Ung,XofN Vouk Org
fingerprint_high_freq,0.517,0.555,0.551,0.588,0.582,0.565,0.565
fingerprint_mid_freq,0.574,0.605,0.588,0.599,0.601,0.565,0.58
fingerprint_low_freq,0.511,0.5,0.515,0.529,0.527,0.569,0.587
fingerprint_cardiac,0.517,0.543,0.547,0.551,0.545,0.554,0.555
fingerprint_ten,0.607,0.596,0.601,0.583,0.59,0.594,0.597
fingerprint_ten_mid,0.58,0.585,0.575,0.559,0.574,0.575,0.57
CPI_high_freq,0.55,0.566,0.599,0.564,0.58,0.535,0.595
CPI_mid_freq,0.583,0.599,0.594,0.602,0.604,0.58,0.574
CPI_low_freq,0.594,0.592,0.613,0.598,0.599,0.599,0.598
CPI_cardiac,0.561,0.591,0.592,0.563,0.567,0.555,0.564
CPI_ten,0.616,0.609,0.622,0.623,0.619,0.612,0.599
CPI_ten_mid,0.571,0.581,0.593,0.589,0.594,0.571,0.577
CPI+fingerprint_high_freq,0.57,0.591,0.601,0.585,0.59,0.585,0.585
CPI+fingerprint_mid_freq,0.597,0.592,0.597,0.602,0.609,0.609,0.597
CPI+fingerprint_low_freq,0.591,0.609,0.599,0.606,0.607,0.594,0.588
CPI+fingerprint_cardiac,0.588,0.583,0.584,0.591,0.589,0.576,0.587
CPI+fingerprint_ten,0.608,0.612,0.613,0.608,0.616,0.609,0.606
CPI+fingerprint_ten_mid,0.598,0.588,0.59,0.593,0.602,0.597,0.593
Avg Rank,5.06,4.22,3.25,3.69,2.67,4.58,4.53
Wins,1.0,3.0,4.0,3.0,4.5,0.5,2.0
