Dataset,XofN_none N/A,XofN VarRed Org,XofN Vouk Org
fingerprint_high_freq,0.227,0.229,0.233
fingerprint_mid_freq,0.386,0.373,0.391
fingerprint_low_freq,0.246,0.25,0.256
fingerprint_cardiac,0.256,0.276,0.271
fingerprint_ten,0.398,0.42,0.407
fingerprint_ten_mid,0.35,0.36,0.369
CPI_high_freq,0.216,0.228,0.223
CPI_mid_freq,0.385,0.373,0.387
CPI_low_freq,0.263,0.266,0.265
CPI_cardiac,0.283,0.272,0.286
CPI_ten,0.387,0.398,0.403
CPI_ten_mid,0.355,0.351,0.359
CPI+fingerprint_high_freq,0.239,0.245,0.233
CPI+fingerprint_mid_freq,0.356,0.353,0.366
CPI+fingerprint_low_freq,0.241,0.245,0.25
CPI+fingerprint_cardiac,0.263,0.272,0.266
CPI+fingerprint_ten,0.409,0.397,0.403
CPI+fingerprint_ten_mid,0.344,0.343,0.341
Avg Rank,1.56,2.0,2.44
Wins,10.0,6.0,2.0
