Dataset,XofN_none N/A,XofN Jac-max Org,XofN Vouk Org
fingerprint_high_freq,0.227,0.235,0.233
fingerprint_mid_freq,0.386,0.379,0.391
fingerprint_low_freq,0.246,0.247,0.256
fingerprint_cardiac,0.256,0.27,0.271
fingerprint_ten,0.398,0.406,0.407
fingerprint_ten_mid,0.35,0.368,0.369
CPI_high_freq,0.216,0.218,0.223
CPI_mid_freq,0.385,0.379,0.387
CPI_low_freq,0.263,0.262,0.265
CPI_cardiac,0.283,0.273,0.286
CPI_ten,0.387,0.392,0.403
CPI_ten_mid,0.355,0.358,0.359
CPI+fingerprint_high_freq,0.239,0.237,0.233
CPI+fingerprint_mid_freq,0.356,0.36,0.366
CPI+fingerprint_low_freq,0.241,0.246,0.25
CPI+fingerprint_cardiac,0.263,0.273,0.266
CPI+fingerprint_ten,0.409,0.4,0.403
CPI+fingerprint_ten_mid,0.344,0.347,0.341
Avg Rank,1.5,1.89,2.61
Wins,11.0,5.0,2.0
